date,symbol,open,high,low,close
2026-02-01,ETH,62.78,62.8,62.41,62.43
2026-01-31,ETH,59.15,66.85,58.57,62.78
2026-01-30,ETH,54.69,63.67,53.82,59.15
2026-01-29,ETH,53.67,55.19,52.46,54.69
2026-01-28,ETH,54.22,54.82,53.66,53.67
2026-01-27,ETH,54.22,54.59,53.36,54.22
2026-01-26,ETH,55.58,56.26,54.16,54.22
2026-01-25,ETH,54.44,60.46,54.44,55.58
2026-01-24,ETH,53.4,54.56,53.34,54.44
2026-01-23,ETH,54.79,54.79,52.79,53.4
2026-01-22,ETH,54.11,54.92,53.65,54.79
2026-01-21,ETH,56.39,56.67,53.97,54.11
2026-01-20,ETH,55.02,56.51,54.6,56.39
2026-01-19,ETH,55.68,56.27,54.49,55.02
2026-01-18,ETH,54.21,55.68,54.06,55.68
2026-01-17,ETH,53.97,54.22,53.52,54.21
2026-01-16,ETH,56.42,56.48,53.95,53.97
2026-01-15,ETH,57.09,57.32,55.72,56.42
2026-01-14,ETH,58.6,58.61,56.5,57.09
2026-01-13,ETH,56.72,59.09,56.45,58.6
2026-01-12,ETH,58.24,58.37,57.48,57.56
2026-01-11,ETH,57.04,58.24,56.99,58.24
2026-01-10,ETH,57.08,57.34,56.5,57.04
2026-01-09,ETH,59.01,59.26,56.77,57.08
2026-01-08,ETH,59.83,60.6,58.9,59.01
2026-01-07,ETH,61.6,61.6,59.69,59.83
2026-01-06,ETH,61.57,61.86,60.97,61.6
2026-01-05,ETH,61.43,62.43,61.35,61.57
2026-01-04,ETH,60.96,61.58,60.91,61.43
2026-01-03,ETH,59.82,60.96,59.27,60.96
2026-01-02,ETH,58.82,60.28,58.63,59.82
2026-01-01,ETH,60.79,61.0,58.33,58.82
2025-12-31,ETH,60.69,60.9,59.24,60.79
2025-12-30,ETH,61.31,61.52,60.45,60.69
2025-12-29,ETH,61.89,62.33,61.29,61.31
2025-12-28,ETH,61.01,62.24,60.83,61.89
2025-12-27,ETH,60.04,61.01,59.92,61.01
2025-12-26,ETH,65.15,65.24,59.32,60.04
2025-12-25,ETH,65.7,65.8,63.41,65.15
2025-12-24,ETH,66.94,67.17,64.69,65.7
2025-12-23,ETH,68.12,68.42,66.09,66.94
2025-12-22,ETH,68.81,68.94,66.77,68.12
2025-12-21,ETH,68.51,69.39,68.18,68.81
2025-12-20,ETH,68.63,68.63,67.88,68.51
2025-12-19,ETH,69.74,70.72,68.18,68.63
2025-12-18,ETH,69.57,70.71,68.86,69.74
2025-12-17,ETH,69.06,70.85,68.64,69.58
2025-12-16,ETH,69.42,69.71,68.89,69.06
2025-12-15,ETH,70.9,70.95,67.35,69.15
2025-12-14,ETH,69.09,71.06,69.06,70.9
2025-12-13,ETH,68.59,69.09,68.01,69.09
2025-12-12,ETH,69.75,69.99,67.33,68.59
2025-12-11,ETH,69.64,72.0,68.39,69.75
2025-12-10,ETH,72.22,72.56,69.63,69.64
2025-12-09,ETH,72.94,73.01,71.58,72.22
2025-12-08,ETH,75.68,75.68,72.83,72.94
2025-12-07,ETH,73.28,77.54,73.26,75.68
2025-12-06,ETH,73.21,73.78,71.92,73.28
2025-12-05,ETH,69.48,74.23,68.52,73.21
2025-12-04,ETH,69.75,70.29,68.17,69.48
2025-12-03,ETH,70.56,70.58,68.55,69.75
2025-12-02,ETH,74.22,74.23,70.5,70.56
2025-12-01,ETH,72.21,75.98,72.21,74.22
2025-11-30,ETH,71.24,72.22,71.09,72.21
2025-11-29,ETH,70.62,71.73,70.57,71.24
2025-11-28,ETH,71.68,71.76,69.51,70.62
2025-11-27,ETH,72.66,73.0,71.17,71.68
2025-11-26,ETH,74.59,75.63,72.41,72.66
2025-11-25,ETH,77.06,77.06,74.29,74.59
2025-11-24,ETH,79.79,80.07,77.31,77.36
2025-11-23,ETH,80.38,80.46,79.36,79.79
2025-11-22,ETH,80.53,80.53,79.57,80.38
2025-11-21,ETH,79.04,84.36,78.28,80.53
2025-11-20,ETH,76.67,79.17,74.67,79.04
2025-11-19,ETH,75.43,78.7,74.39,76.67
2025-11-18,ETH,77.94,79.07,75.36,75.43
2025-11-17,ETH,77.2,79.14,74.97,77.94
2025-11-16,ETH,75.56,79.61,75.23,77.2
2025-11-15,ETH,77.94,77.95,75.12,75.56
2025-11-14,ETH,74.48,78.39,74.08,77.94
2025-11-13,ETH,73.04,74.67,70.81,74.48
2025-11-12,ETH,74.73,74.87,72.43,73.05
2025-11-11,ETH,72.13,74.76,71.85,74.73
2025-11-10,ETH,73.01,73.52,72.11,72.13
2025-11-09,ETH,71.8,74.22,71.03,73.01
2025-11-08,ETH,71.6,72.25,70.13,71.8
2025-11-07,ETH,72.82,73.54,71.14,71.6
2025-11-06,ETH,70.65,73.85,70.12,72.82
2025-11-05,ETH,74.76,79.31,70.65,70.65
2025-11-04,ETH,70.28,79.85,69.14,74.76
2025-11-03,ETH,67.84,71.36,67.56,70.28
2025-11-02,ETH,68.6,68.88,67.74,67.84
2025-11-01,ETH,68.53,68.96,68.26,68.6
2025-10-31,ETH,70.04,70.04,67.32,68.53
2025-10-30,ETH,71.45,72.14,69.18,70.04
2025-10-29,ETH,69.85,71.63,68.96,71.45
2025-10-28,ETH,68.75,69.93,67.59,69.85
2025-10-27,ETH,69.47,69.51,68.46,68.75
2025-10-26,ETH,69.21,70.0,68.96,69.47
2025-10-25,ETH,69.47,69.65,68.81,69.21
2025-10-24,ETH,72.97,73.01,69.35,69.47
2025-10-23,ETH,75.91,75.91,72.96,72.97
2025-10-22,ETH,74.68,76.08,74.41,75.91
2025-10-21,ETH,73.24,74.75,72.45,74.68
2025-10-20,ETH,72.99,74.27,72.05,73.24
2025-10-19,ETH,73.49,74.22,71.91,72.99
2025-10-18,ETH,75.49,75.59,73.06,73.49
2025-10-17,ETH,73.59,77.18,72.85,75.49
